Component_ID,Flight_Hours,Temperature,Vibration,Component_Age,Maintenance_Cost,Failure
C1,753,112,0.9470530469665195,15,39806,0
C2,4598,110,0.3774655825159151,18,15998,1
C3,4706,76,0.6448521710631352,23,44466,0
C4,2018,97,0.19340894275505477,52,1420,0
C5,865,67,0.7548895864801454,59,20114,1
C6,931,109,0.8125797343919209,16,27330,0
C7,733,83,0.8826380070342812,35,36150,0
C8,4952,66,0.561936653803255,59,15593,0
C9,4356,98,0.6298383654771901,38,14235,1
C10,4407,80,0.6858101819971332,11,20629,0
C11,4699,68,0.26793155464183926,40,38044,0
C12,604,90,0.3550968878455555,25,42719,0
C13,3021,92,0.7187859312666645,14,17270,1
C14,3792,88,0.9862682930119437,30,8061,0
C15,4610,111,0.8784672565152035,40,10595,1
C16,987,77,0.3546033025231723,34,15820,0
C17,601,112,0.6202409506462261,56,28779,0
C18,1038,68,0.2680636812966324,41,13045,0
C19,2293,77,0.6084388003377844,52,31761,0
C20,2057,61,0.723077195588199,58,16195,1
C21,814,113,0.1452282732638438,36,20412,0
C22,1588,86,0.9063857978779412,40,21415,1
C23,3435,100,0.5275127049572744,35,38480,1
C24,2003,100,0.7314905399439136,15,22013,1
C25,4843,88,0.9974644715480504,36,20001,0
C26,2032,76,0.8279230005380314,21,22349,0
C27,1781,98,0.5956282378264955,19,28581,0
C28,3834,83,0.5016312602538862,6,33101,1
C29,4938,102,0.8479049874886871,18,47859,1
C30,2878,113,0.6667261163421458,26,31057,1
C31,1582,97,0.18147230789555474,39,6383,0
C32,527,118,0.5298230817165392,8,35242,0
C33,3726,106,0.6371476684888465,38,24064,1
C34,651,91,0.5561082063278371,20,48210,0
C35,1079,94,0.8705276939888291,18,29695,0
C36,3592,99,0.708265066344576,59,18862,1
C37,2449,88,0.4696577854462948,14,11330,0
C38,4633,77,0.6029887847197123,19,6249,0
C39,998,67,0.32838059126882846,54,39626,1
C40,2902,110,0.6191626466355745,13,32873,0
C41,1637,99,0.18027978056101618,17,19427,0
C42,711,65,0.7824593927559559,26,15543,0
C43,825,114,0.8173491063816095,24,7625,0
C44,1932,60,0.27618993273609166,56,2505,0
C45,3364,79,0.841974024940755,31,18383,0
C46,524,67,0.3637251483939269,50,46309,0
C47,1070,106,0.7191365948263464,19,23256,1
C48,2190,98,0.9810225969280363,52,19203,1
C49,4080,78,0.33302884702689906,49,2986,0
C50,1816,84,0.8715103277672779,52,29103,1
C51,838,99,0.926439567151082,36,9881,0
C52,915,63,0.3734314557274012,52,10319,0
C53,722,67,0.18090694679150365,20,1563,0
C54,1904,113,0.7131844798844779,34,31703,0
C55,878,99,0.40734531952380837,38,35080,0
C56,2654,74,0.12791036671359687,32,15774,0
C57,4842,112,0.7178135285700644,32,27942,1
C58,1790,116,0.24888760929433568,12,37390,0
C59,4157,74,0.7435323185176071,43,22503,1
C60,1087,83,0.6891529758677396,9,45491,0
C61,3960,73,0.4557580788692135,8,38966,0
C62,2064,108,0.5791056170365916,27,18721,0
C63,1095,83,0.33680025106776607,52,48205,0
C64,584,88,0.848091628516011,8,49575,0
C65,2405,77,0.24697902913166186,40,15268,0
C66,4826,63,0.30157694238326405,29,42808,0
C67,644,82,0.3687520192082705,45,33883,1
C68,3872,77,0.16121393923391789,15,5353,0
C69,1166,111,0.828181270326719,19,28618,0
