Flight_Hours,Temperature,Vibration,Component_Age,Failure,Predicted_Failure
4742,101,0.8600367704584966,37,1,1
4236,60,0.6856747564905947,25,0,0
2093,71,0.5351495953915184,28,0,0
4477,114,0.3581325234446464,53,0,0
1889,78,0.22196680333532273,17,0,0
2689,86,0.20314482948528942,30,0,0
4699,118,0.42291089509311297,13,0,0
884,119,0.6197224968868301,19,1,1
2170,80,0.5925897287985127,15,0,0
3067,93,0.9556829722813891,41,1,1
3385,109,0.16651226281099785,33,0,0
3074,84,0.40391663195215033,10,1,1
2568,98,0.19157640519060978,46,0,0
4651,108,0.46207721935209245,59,0,0
616,111,0.13873857531802253,17,0,0
4270,75,0.9865561565861345,42,0,0
2391,88,0.5242469244554956,20,0,0
2104,65,0.6384071289568497,12,0,0
727,94,0.8713187044773835,22,0,0
3093,71,0.11721201940189135,22,0,0
2454,112,0.42613948864081275,16,0,0
994,85,0.852608365576624,36,0,0
2030,72,0.36519872843453904,50,0,0
1681,62,0.17048760448721884,10,0,0
4625,112,0.8376959785079181,6,0,0
2204,89,0.5487839032596101,15,0,0
3310,98,0.5651630287008744,22,1,1
3732,85,0.5054827170996372,22,0,0
3921,114,0.6286294328651322,35,0,0
2883,105,0.8656424556839957,41,0,0
2849,113,0.24121947746099665,21,0,0
2791,81,0.9482218681530797,37,0,0
4162,101,0.5596198451052995,43,0,0
4574,87,0.6806080028318886,56,0,0
983,114,0.27518034657401425,23,0,0
2018,78,0.2521679400721144,10,0,0
4338,97,0.2964855789424463,17,0,0
2540,63,0.6818828324116989,6,0,0
669,113,0.29629808230743127,43,0,0
2423,98,0.7641438756272356,37,0,0
1117,107,0.7713094959519604,27,0,0
914,61,0.8753285683285392,39,0,0
1982,73,0.9375460912534628,32,0,0
4050,115,0.6098361122545483,58,1,1
1411,105,0.5924046492983484,7,0,0
4580,113,0.4817653373679487,56,0,0
1850,116,0.5341682655984148,47,0,0
2183,106,0.3119742278851296,52,0,0
4839,89,0.6291218415563455,44,0,0
971,87,0.6153196703142847,37,0,0
4745,77,0.9670180810613973,49,0,0
4443,82,0.7927942130490215,59,0,0
1197,72,0.6724491546209501,23,0,0
1753,108,0.7838855637304363,54,0,0
1517,61,0.541196125327031,46,0,0
594,100,0.6097679475568615,11,0,0
1542,77,0.2536073429714203,19,0,0
4364,67,0.19553538288968383,28,0,0
3954,86,0.5008309423761202,12,0,0
4512,110,0.3962573067083506,36,1,1
3191,87,0.2831493737780762,13,0,0
4714,87,0.9098268961871618,53,0,0
3877,96,0.9073324743956932,52,0,0
2887,111,0.23811342662940674,59,0,0
1691,78,0.8139441503207967,37,0,0
770,65,0.9508725943567043,54,1,1
1468,111,0.9840900856502919,24,0,0
2856,73,0.9793489262412861,32,0,0
4298,76,0.32148661407905055,51,0,0
4934,105,0.9362190291477224,19,0,0
3562,78,0.9348377780064221,23,0,0
619,115,0.12048590496255111,30,0,0
2474,105,0.8179800601095554,29,0,0
3233,86,0.7954685310145161,35,1,1
2261,113,0.24588824507890777,22,0,0
3939,112,0.7442980928006304,57,1,1
836,119,0.21314118060824927,53,0,0
1277,119,0.4474715966778874,54,0,0
850,76,0.8872392182119629,30,0,0
4999,84,0.1099585175006853,44,0,0
1572,106,0.7263361946701626,24,0,0
1498,116,0.48036472626217874,25,0,0
4054,98,0.37741492103600704,56,0,0
732,106,0.885566471001246,16,0,0
4239,93,0.12250248432927832,54,1,0
932,102,0.7899226162630891,57,0,0
2271,103,0.9048336444623583,46,0,0
3480,85,0.8148692904264577,48,1,1
4786,112,0.43155288670555403,20,0,0
671,63,0.6470791033749284,48,0,0
1921,80,0.33898273683803976,44,0,0
1693,116,0.43227092941385736,54,0,0
886,83,0.552862615572239,44,0,0
4237,84,0.7819860327135904,57,0,0
3472,115,0.6058937757538156,12,0,0
587,76,0.5636172953340732,36,1,1
3709,74,0.3360515799534912,45,0,0
2266,103,0.5085261329334251,45,0,0
3970,86,0.6072338970246979,35,0,0
2854,66,0.34987626582277687,44,0,0
1716,60,0.36565806425763825,10,0,0
1069,80,0.20865459536698222,42,0,0
1287,62,0.3045636687783214,24,1,1
2634,92,0.1478659081292866,52,1,1
3613,111,0.8887227606252356,41,1,1
1149,66,0.906464248664828,37,0,0
963,63,0.8526609255793306,38,0,0
4976,91,0.2352900876543418,44,0,0
3965,104,0.7493193377137811,52,1,1
2804,68,0.7822784767887189,51,0,0
4293,115,0.1859236497625973,49,0,0
1407,69,0.4916613014497404,46,0,0
3895,83,0.6501800810704893,53,0,0
2879,85,0.40721199982665346,43,0,0
2322,92,0.5417579451829992,46,0,0
529,106,0.38151148428435055,51,1,1
1025,103,0.3086718659445846,20,0,0
3726,81,0.6003025976713238,6,0,0
1522,74,0.3354531410736943,12,0,0
714,95,0.9705023005181416,12,0,0
4363,90,0.4865085977051221,36,0,0
1352,83,0.4761346828809433,35,0,0
2120,118,0.9851469379293092,42,0,0
4245,110,0.6400743698538256,50,1,1
3857,89,0.4661211001180937,25,0,0
4310,79,0.6908242054955012,24,0,0
3576,95,0.33697071507291027,9,0,0
580,98,0.2953055466970858,43,0,0
1134,114,0.43782167439065756,16,0,0
1973,80,0.789076003603271,35,0,0
3751,92,0.5809057217984173,58,0,0
1279,81,0.3990012709760826,48,0,0
1459,80,0.22536212834593672,10,0,0
1554,116,0.5477814138593712,59,0,0
1047,67,0.823238394369507,56,0,0
986,109,0.22139028237297448,11,0,0
3965,68,0.6085524523892184,54,0,0
4397,116,0.9025337703137902,11,0,0
2992,104,0.38324798304950647,46,1,1
2613,112,0.7449374776334242,37,1,1
3248,60,0.7889360744721762,37,0,0
1082,62,0.5239343082667077,26,0,0
1595,90,0.3866029743576799,57,0,0
4509,92,0.9074149217483165,14,0,0
811,110,0.7521783381958513,46,0,0
3302,85,0.9528470723068692,43,1,1
1326,87,0.1634143168466462,29,0,0
1411,84,0.7696998929034371,32,0,0
2035,82,0.9548721623529554,39,0,0
4706,76,0.7130679449320236,10,1,1
1093,70,0.663503334342145,18,0,0
3335,97,0.2256499657823875,9,0,0
3840,89,0.5682447763267524,25,0,0
3917,106,0.9401114409903119,50,0,1
4607,85,0.37037056021785486,21,0,0
2136,65,0.7474143468198173,35,0,0
4790,89,0.19618455958515885,10,0,0
1711,69,0.8414836802715626,48,0,0
1370,84,0.911963519868665,55,0,0
3895,106,0.8028778395138815,35,0,0
4520,62,0.8721838867491134,22,0,0
4037,68,0.6767964204440593,22,0,0
1567,94,0.2923487616386323,34,0,0
2751,84,0.25434268495163603,42,0,0
3367,75,0.6486859676809558,34,0,0
4568,85,0.5440060296498752,22,0,0
3901,106,0.5556048517844758,50,1,1
833,62,0.9720268474332835,46,1,0
3067,117,0.18575871533779198,59,0,0
1715,61,0.8712378823803658,45,0,0
2803,111,0.4842383877600236,34,0,0
1018,118,0.4478349152546147,42,0,0
3023,67,0.8662392056201903,54,0,0
3382,77,0.9685568164819727,26,0,0
4489,81,0.19329929352099143,50,0,0
701,61,0.18335895889798154,11,0,0
3415,77,0.8346045858909605,53,0,0
2450,114,0.19830748144844684,28,0,0
3478,83,0.6012702459731274,12,0,0
4677,98,0.5893203548724205,38,0,0
3673,105,0.4687393798798156,23,0,0
1564,88,0.14202439713556736,12,0,0
4795,97,0.7044211399369603,57,1,1
2090,71,0.6220507320630477,52,1,1
1353,109,0.30729956222793725,28,0,0
1061,117,0.327500656134051,36,0,0
2256,96,0.2556766266612582,27,1,1
3744,81,0.5111923267025856,51,0,0
1281,99,0.917781104363234,30,0,0
2351,68,0.7924198892530567,13,0,0
2438,61,0.7342152044600737,25,1,0
3453,71,0.7498292817662993,44,0,0
2311,100,0.4387400867063417,14,0,0
4536,93,0.780593938620058,50,1,1
1353,102,0.6489661092244798,43,0,0
1383,92,0.9210577238181755,23,0,0
2153,75,0.26361247092760576,20,0,0
2563,104,0.13739816915956188,35,0,0
1444,95,0.5200198818584592,34,0,0
807,118,0.11706369693738028,17,0,0
1244,80,0.22365851365295042,15,0,0
744,106,0.9021645782155668,55,0,0
1352,70,0.38220397179614984,55,0,0
3989,84,0.8412160721932784,47,0,0
2895,94,0.9712873560588182,59,0,0
4096,73,0.977165997911092,56,0,0
1373,114,0.9081759880799904,13,0,0
4903,74,0.28464909518699455,10,0,0
4560,65,0.9845896081965005,9,0,0
3844,118,0.22155401003057473,50,0,0
2175,94,0.6865722469829841,12,0,0
3826,77,0.5321578195846831,31,0,0
4579,70,0.24803851344296926,52,0,0
3460,72,0.22127530333367812,18,0,0
2591,91,0.9695962438014437,37,0,0
3212,81,0.8031195881460507,15,0,0
1544,114,0.37197383877556256,32,0,0
4945,112,0.19683657903472018,8,0,0
3265,91,0.9927788418877351,58,1,1
570,85,0.2279883684743373,52,1,1
1306,116,0.7279393238700146,30,1,0
4942,63,0.6109503484523022,38,1,1
1197,108,0.710851884666045,26,0,0
2315,77,0.713555135500521,8,0,0
2566,86,0.10230755310355269,57,0,0
4999,64,0.5173099065550928,41,0,0
1374,68,0.575455622806566,25,0,0
2954,72,0.9475620388693653,31,0,0
4157,95,0.3959594848886555,20,0,0
4343,94,0.7077971198463534,6,1,1
1124,90,0.24058495699461768,42,0,0
699,78,0.8618995862821884,8,0,0
790,67,0.7502739994784461,18,0,0
1580,76,0.7011244053677999,55,0,0
1103,60,0.9292153814234011,32,0,0
3509,101,0.5335726603815494,13,0,0
1968,95,0.7134540301482514,43,0,0
4743,67,0.625868615979901,13,0,0
1495,69,0.4011248572480255,20,0,0
1384,87,0.5074159823819008,15,0,0
1230,91,0.6339857563583494,51,0,0
3084,112,0.6528378501753853,20,0,0
4635,85,0.5237302698968809,30,0,0
1889,98,0.669680442971665,52,0,0
1465,73,0.1497268292268744,44,0,0
3448,111,0.9189965475733471,36,0,0
4131,61,0.6426163869717691,21,0,0
3384,119,0.8956956791075641,20,0,0
2807,75,0.5916606079499973,19,0,0
2416,95,0.5568959026432266,48,0,0
2715,109,0.4623647369887083,52,0,0
4698,112,0.9585371096360112,44,1,1
1563,91,0.3930609547822945,45,0,0
3685,60,0.8798670204121664,8,1,1
3830,91,0.3222545572439929,34,0,0
2416,100,0.7535463808828046,48,1,1
3336,100,0.4180706078813029,50,0,0
3253,109,0.22472346354942468,12,0,0
1742,96,0.23864812280733994,30,0,0
3171,106,0.8236952820141137,46,1,1
3708,99,0.8280500027261577,51,1,1
4819,92,0.8202228368530512,40,1,1
3689,64,0.8979366017599966,23,0,0
1001,101,0.3980470125191491,19,0,0
4461,111,0.22968605211681364,10,0,0
2784,60,0.32643038343962555,25,0,0
3189,88,0.8759640957768956,34,0,1
3447,84,0.5449897597563926,46,0,0
2361,93,0.567298495429448,30,0,0
3741,113,0.14791111938817797,23,0,0
3488,73,0.27226994954437633,55,0,0
3799,91,0.6315386709046606,37,1,1
3007,80,0.5787033128866335,28,0,0
3130,91,0.6228159697779774,24,1,1
4230,73,0.3258062785129193,41,0,0
680,66,0.17022757535677258,35,1,1
1167,102,0.7406494590328883,38,0,0
2911,104,0.24667893754661893,58,0,0
2686,117,0.7018347361685467,16,0,0
2317,111,0.5011913030225502,9,0,0
827,72,0.9516602647733576,32,1,1
2359,82,0.6155363056564671,19,0,0
1922,61,0.13524356417090666,28,0,0
3005,78,0.18435356153258908,40,0,0
3406,97,0.5287781932731853,31,0,0
4800,66,0.922031324567055,54,0,0
3023,65,0.9824861663852694,29,0,0
3676,96,0.9417312881873432,13,0,0
4662,116,0.6760807715111175,45,1,1
952,106,0.42957981381091415,26,0,0
4908,108,0.5908376338192447,16,0,0
2649,86,0.8408201684430358,26,0,0
4071,64,0.5578396681147881,27,0,0
3056,105,0.8360950023894487,16,1,1
998,102,0.8814147143917974,26,0,0
1519,72,0.39168257640074977,21,0,0
1700,63,0.41864439918198204,28,0,0
3239,117,0.38409225578206996,29,0,0
3232,111,0.45032718566176133,55,0,0
1748,87,0.7695440696745689,25,0,0
1758,61,0.23713823572286527,35,1,1
640,104,0.9230286220129386,40,0,0
3013,114,0.6369868842427483,13,0,0
4573,63,0.825930548198969,45,0,0
2119,112,0.37462381197710204,33,0,0
2703,61,0.5290547578312046,59,0,0
3038,74,0.5631954813865915,27,0,0
863,114,0.5049398697307574,40,0,0
4970,116,0.13005028523939774,24,0,0
3346,60,0.9462091831718843,9,0,0
1371,85,0.2804946293090854,8,0,0
3734,94,0.9507727384632311,42,1,1
2557,82,0.8053987635747649,12,1,1
888,118,0.7007674107614956,55,0,0
2033,83,0.5481071385489,58,0,0
693,75,0.3762729465669886,23,0,0
4782,70,0.9942673896039962,52,0,0
831,110,0.7201474981782396,14,0,0
4739,83,0.13061565573618938,9,0,0
4346,98,0.730030208662045,48,1,1
1235,101,0.9106970610023899,55,0,0
3444,110,0.4670407407847017,26,0,0
1430,112,0.2930496316764208,42,0,0
4351,89,0.31879271219504624,38,0,0
2739,102,0.7939809383790859,43,0,0
2192,83,0.10917163476816646,31,0,0
848,69,0.9465669337948808,58,0,0
539,103,0.19257283640335954,25,0,0
1015,78,0.8681324560219217,33,0,0
1918,101,0.8759565940642668,41,1,1
4813,118,0.26835493284225226,36,0,0
4159,79,0.7991466178690508,14,0,0
1994,78,0.6452259520054688,29,0,0
1408,102,0.7720365311469967,57,0,0
3800,109,0.9773250716484719,50,1,1
3598,76,0.9249340454409609,21,0,0
3529,112,0.62932526222085,20,0,0
2179,72,0.6969921273426415,32,1,0
902,99,0.17432704183755265,24,0,0
2640,116,0.30076555408266437,16,0,0
590,104,0.3229023661504572,17,1,0
3098,96,0.18028144048602923,9,1,0
3753,66,0.1942372327490346,6,0,0
1828,83,0.5116954886668883,44,0,0
1577,75,0.5185225379651879,9,0,0
1640,82,0.6062268475989905,14,0,0
1105,113,0.3460800039795808,15,0,0
2954,86,0.23044948539141946,42,0,0
3843,81,0.7343585123172983,40,0,0
1346,74,0.3116733920068523,33,0,0
3376,62,0.19217404879051897,32,0,0
4400,91,0.29442849146812144,18,1,1
4773,83,0.7230945213727282,28,0,0
2032,115,0.7080880518089934,18,0,0
4663,92,0.6933496777525249,18,0,0
4997,100,0.2223409194609467,11,0,0
1753,106,0.17152233328097694,35,0,0
4949,77,0.2722289469091305,58,0,0
4543,77,0.5714296269801198,58,0,0
2436,111,0.5481699208251256,30,0,0
2749,74,0.4564634276919396,54,0,0
1929,85,0.5805316645352901,19,0,0
2974,98,0.9337649207183474,33,1,1
4342,71,0.9806813833150976,59,0,0
4744,105,0.87311187768312,44,1,1
2750,84,0.996592614120993,49,0,0
2037,106,0.5723345160553163,29,0,0
1039,91,0.7633499915866429,53,0,0
2469,102,0.42419818930309217,43,0,0
2901,106,0.794499993202191,46,0,0
3961,98,0.5720442904024508,46,0,0
4989,89,0.640845528420621,57,0,0
543,105,0.2030574002437976,57,0,0
1295,97,0.6859921237098554,26,0,0
865,92,0.6813592004356414,50,0,0
3805,107,0.5498406329767404,31,0,0
2553,109,0.983202567969068,36,0,0
3790,69,0.15917300126052575,17,0,0
612,92,0.5777315494854772,24,0,0
1502,89,0.15647256456934563,23,0,0
4169,117,0.5044234455655416,38,0,0
3332,88,0.4103410862950062,13,0,0
1318,72,0.5643697078187194,6,1,1
